,Players,club,league,age,nationality,Position,overall,potential,aggression,standing_tackle,sliding_tackle,marking,diver_trait,work_rate_def,tackling_speciality,argues_with_officials_trait,Total Apps,Total Yellows,Average Yellows/Game,Total Reds,Average Reds/Game,Total Conceded 1+,Average Conceded 1+
3463,Silvan Widmer,Udinese,Italian Serie A,24,Switzerland,Defender,77,82,68,73,71,72,False,Medium,False,False,107.0,13.0,0.12149532710280374,0.0,0.0,77.0,0.719626168224299
3464,Silvio Romero,Club America,Mexican Liga MX,28,Argentina,Midfielder,73,73,40,47,36,28,False,High,False,False,11.0,1.0,0.09090909090909091,0.0,0.0,0.0,0.0
3465,Sime Vrsaljko,Atletico Madrid,Spanish Primera Division,25,Croatia,Defender,80,84,75,81,75,77,False,Medium,False,False,92.0,17.0,0.18478260869565216,0.0,0.0,32.0,0.34782608695652173
3466,Simeon Jackson,Walsall,English League One,30,Canada,Forward,62,62,50,26,25,18,False,Medium,False,False,22.0,1.0,0.045454545454545456,0.0,0.0,0.0,0.0
3469,Simon Falette,Eintracht Frankfurt,German Bundesliga,25,France,Defender,75,78,76,75,74,70,False,Medium,False,False,35.0,7.0,0.2,0.0,0.0,41.0,1.1714285714285715
3470,Simon Francis,Bournemouth,English Premier League,32,England,Defender,76,76,75,79,77,77,False,Medium,False,False,72.0,9.0,0.125,2.0,0.027777777777777776,71.0,0.9861111111111112
3473,Simon Mignolet,Liverpool,English Premier League,29,Belgium,Goalkeeper,81,81,34,14,16,13,False,Medium,False,False,174.0,3.0,0.017241379310344827,0.0,0.0,100.0,0.5747126436781609
3476,Simon Pouplin,OGC Nice,French Ligue 1,32,France,Goalkeeper,67,67,25,11,12,12,False,Medium,False,False,60.0,5.0,0.08333333333333333,0.0,0.0,48.0,0.8
3477,Simon Zoller,1. FC Koln,German Bundesliga,26,Germany,Forward,73,76,52,23,23,17,False,Low,False,False,60.0,8.0,0.13333333333333333,0.0,0.0,0.0,0.0
3479,Simone Bentivoglio,F.B.C. Unione Venezia,Italian Serie B,32,Italy,Midfielder,69,69,69,68,62,63,False,Medium,False,False,19.0,3.0,0.15789473684210525,0.0,0.0,0.0,0.0
3484,Simone Lo Faso,Fiorentina,Italian Serie A,19,Italy,Forward,60,77,35,22,14,22,False,Medium,False,False,10.0,0.0,0.0,0.0,0.0,0.0,0.0
3485,Simone Missiroli,Sassuolo,Italian Serie A,31,Italy,Midfielder,75,75,60,71,63,60,False,Medium,False,False,96.0,20.0,0.20833333333333334,0.0,0.0,0.0,0.0
3486,Simone Padoin,Cagliari,Italian Serie A,33,Italy,Midfielder,73,73,68,74,74,70,False,Medium,False,False,110.0,16.0,0.14545454545454545,1.0,0.00909090909090909,0.0,0.0
3490,Simone Romagnoli,Empoli,Italian Serie B,27,Italy,Defender,71,72,65,75,70,73,False,Medium,False,False,37.0,6.0,0.16216216216216217,1.0,0.02702702702702703,26.0,0.7027027027027027
3491,Simone Scuffet,Udinese,Italian Serie A,21,Italy,Goalkeeper,75,83,35,24,18,20,False,Medium,False,False,23.0,1.0,0.043478260869565216,0.0,0.0,20.0,0.8695652173913043
3492,Simone Verdi,Bologna,Italian Serie A,24,Italy,Forward,78,80,48,40,60,20,False,Medium,False,False,75.0,11.0,0.14666666666666667,0.0,0.0,0.0,0.0
3493,Simone Zaza,Valencia CF,Spanish Primera Division,26,Italy,Forward,81,82,85,35,40,28,False,High,False,False,111.0,37.0,0.3333333333333333,2.0,0.018018018018018018,0.0,0.0
3494,Simy,Crotone,Italian Serie A,25,Nigeria,Forward,68,71,79,28,22,25,False,Low,False,False,21.0,0.0,0.0,0.0,0.0,0.0,0.0
3498,Sloan Privat,En Avant de Guingamp,French Ligue 1,27,France,Forward,74,74,36,19,21,20,False,Medium,False,False,102.0,7.0,0.06862745098039216,0.0,0.0,0.0,0.0
3499,Slobodan Medojevic,Eintracht Frankfurt,German Bundesliga,26,Serbia,Midfielder,71,74,81,72,70,69,False,Medium,False,False,56.0,8.0,0.14285714285714285,0.0,0.0,0.0,0.0
3500,Slobodan Rajkovic,Palermo,Italian Serie B,28,Serbia,Defender,75,76,87,78,73,73,False,Medium,False,False,46.0,5.0,0.10869565217391304,0.0,0.0,31.0,0.6739130434782609
3502,Sofiane Boufal,Southampton,English Premier League,23,Morocco,Midfielder,79,84,47,40,32,44,True,Low,False,False,67.0,17.0,0.2537313432835821,1.0,0.014925373134328358,0.0,0.0
3503,Sofiane Feghouli,Galatasaray SK,Turkish Super Lig,27,Algeria,Midfielder,79,79,53,32,31,25,False,Medium,False,False,134.0,21.0,0.15671641791044777,1.0,0.007462686567164179,0.0,0.0
3504,Somalia,Toulouse FC,French Ligue 1,28,Brazil,Midfielder,73,73,75,73,72,69,False,High,False,False,57.0,4.0,0.07017543859649122,1.0,0.017543859649122806,0.0,0.0
3505,Sone Aluko,Reading,English Championship,28,Nigeria,Forward,74,74,34,36,35,39,False,Medium,False,False,42.0,3.0,0.07142857142857142,0.0,0.0,0.0,0.0
3506,Sonny Kittel,FC Ingolstadt 04,German 2. Bundesliga,24,Germany,Midfielder,71,77,39,24,20,18,False,Medium,False,False,52.0,5.0,0.09615384615384616,0.0,0.0,0.0,0.0
3507,Soualiho Meite,AS Monaco,French Ligue 1,23,France,Midfielder,76,81,76,77,71,70,False,High,False,False,28.0,2.0,0.07142857142857142,0.0,0.0,0.0,0.0
3511,Souleymane Camara,Montpellier Herault SC,French Ligue 1,34,Senegal,Forward,69,69,65,51,46,51,False,Medium,False,False,164.0,5.0,0.03048780487804878,0.0,0.0,0.0,0.0
3512,Souleymane Doukara,Osmanlspor,Turkish Super Lig,25,Senegal,Forward,68,71,45,23,20,22,False,Medium,False,False,13.0,2.0,0.15384615384615385,0.0,0.0,0.0,0.0
3514,Steeve Elana,GFC Ajaccio,French Ligue 2,36,France,Goalkeeper,73,73,28,15,14,10,False,Medium,False,False,21.0,0.0,0.0,0.0,0.0,8.0,0.38095238095238093
3515,Steeve Yago,Toulouse FC,French Ligue 1,24,Burkina Faso,Defender,71,76,82,75,72,75,False,High,False,False,101.0,22.0,0.21782178217821782,1.0,0.009900990099009901,57.0,0.5643564356435643
3517,Stefan Aigner,Colorado Rapids,USA Major League Soccer,29,Germany,Midfielder,73,73,62,37,36,30,True,Medium,False,False,121.0,21.0,0.17355371900826447,0.0,0.0,0.0,0.0
3518,Stefan Bell,1. FSV Mainz 05,German Bundesliga,25,Germany,Forward,77,80,65,82,74,77,False,Medium,False,False,127.0,21.0,0.16535433070866143,0.0,0.0,0.0,0.0
3519,Stefan Ilsanker,RB Leipzig,German Bundesliga,28,Austria,Midfielder,75,75,89,83,78,69,False,High,False,False,33.0,8.0,0.24242424242424243,0.0,0.0,0.0,0.0
3520,Stefan Kutschke,FC Ingolstadt 04,German 2. Bundesliga,28,Germany,Forward,70,70,81,47,18,22,False,Medium,False,False,27.0,1.0,0.037037037037037035,0.0,0.0,0.0,0.0
3521,Stefan Lex,FC Ingolstadt 04,German 2. Bundesliga,27,Germany,Midfielder,70,70,40,22,20,21,False,Medium,False,False,34.0,5.0,0.14705882352941177,0.0,0.0,0.0,0.0
3522,Stefan Mitrovic,KAA Gent,Belgian First Division A,27,Serbia,Defender,73,75,77,78,73,72,False,Medium,False,False,30.0,11.0,0.36666666666666664,1.0,0.03333333333333333,22.0,0.7333333333333333
3524,Stefan Radu,Lazio,Italian Serie A,30,Romania,Defender,79,79,75,86,85,85,False,High,True,False,115.0,34.0,0.2956521739130435,0.0,0.0,53.0,0.4608695652173913
3526,Stefan Savic,Atletico Madrid,Spanish Primera Division,26,Montenegro,Defender,82,86,83,82,84,85,False,High,False,False,130.0,23.0,0.17692307692307693,1.0,0.007692307692307693,58.0,0.4461538461538462
3527,Stefan Scepovic,Real Sporting de Gijon,Spanish Segunda Division,27,Serbia,Forward,72,73,43,34,38,24,False,Medium,False,False,34.0,4.0,0.11764705882352941,0.0,0.0,0.0,0.0
3532,Stefan de Vrij,Lazio,Italian Serie A,25,Netherlands,Defender,83,88,74,86,82,87,False,High,False,False,59.0,7.0,0.11864406779661017,0.0,0.0,27.0,0.4576271186440678
3533,Stefano Celozzi,VfL Bochum,German 2. Bundesliga,28,Germany,Defender,71,71,66,71,71,70,False,Medium,False,False,38.0,4.0,0.10526315789473684,0.0,0.0,18.0,0.47368421052631576
3534,Stefano Okaka,Watford,English Premier League,27,Italy,Forward,77,77,73,25,20,15,False,High,False,False,66.0,16.0,0.24242424242424243,0.0,0.0,0.0,0.0
3537,Stefano Sensi,Sassuolo,Italian Serie A,21,Italy,Midfielder,75,83,66,72,71,64,False,Medium,False,False,16.0,3.0,0.1875,0.0,0.0,0.0,0.0
3538,Stefano Sorrentino,Chievo Verona,Italian Serie A,38,Italy,Goalkeeper,79,79,22,10,13,11,False,Medium,False,False,140.0,4.0,0.02857142857142857,0.0,0.0,107.0,0.7642857142857142
3539,Stefano Sturaro,Juventus,Italian Serie A,24,Italy,Midfielder,77,82,86,78,78,72,False,High,False,False,80.0,25.0,0.3125,1.0,0.0125,0.0,0.0
3541,Stephan Andersen,FC Kbenhavn,Danish Superliga,35,Denmark,Goalkeeper,67,67,31,13,15,15,False,Medium,False,False,16.0,0.0,0.0,0.0,0.0,23.0,1.4375
3542,Stephane Bahoken,RC Strasbourg,French Ligue 1,25,France,Forward,68,73,41,22,14,12,False,Medium,False,False,10.0,1.0,0.1,0.0,0.0,0.0,0.0
3543,Stephane Darbion,ES Troyes AC,French Ligue 1,33,France,Midfielder,69,69,69,62,59,59,False,Medium,False,False,56.0,6.0,0.10714285714285714,0.0,0.0,0.0,0.0
3544,Stephane Ruffier,AS Saint-Etienne,French Ligue 1,30,France,Goalkeeper,85,85,31,12,11,11,False,Medium,False,False,183.0,7.0,0.03825136612021858,0.0,0.0,65.0,0.3551912568306011
3545,Stephane Sessegnon,Montpellier Herault SC,French Ligue 1,33,Benin,Midfielder,75,75,72,68,66,63,False,Medium,False,False,143.0,11.0,0.07692307692307693,2.0,0.013986013986013986,0.0,0.0
3546,Stephane Sparagna,Boavista FC,Portuguese Primeira Liga,22,France,Defender,69,75,76,72,69,69,False,Medium,False,False,12.0,3.0,0.25,0.0,0.0,3.0,0.25
3549,Stephen Ireland,Stoke City,English Premier League,30,Republic of Ireland,Midfielder,72,72,60,45,48,38,False,Medium,False,False,68.0,9.0,0.1323529411764706,0.0,0.0,0.0,0.0
3550,Stephen Kingsley,Hull City,English Championship,22,Scotland,Defender,70,79,60,73,70,70,False,High,False,False,17.0,0.0,0.0,0.0,0.0,12.0,0.7058823529411765
3551,Stephen Quinn,Reading,English Championship,31,Republic of Ireland,Midfielder,69,69,74,63,69,58,False,High,False,False,43.0,3.0,0.06976744186046512,1.0,0.023255813953488372,0.0,0.0
3552,Stephen Ward,Burnley,English Premier League,31,Republic of Ireland,Defender,75,75,78,76,75,74,False,High,False,False,46.0,8.0,0.17391304347826086,0.0,0.0,31.0,0.6739130434782609
3553,Stevan Jovetic,AS Monaco,French Ligue 1,27,Montenegro,Forward,81,82,50,32,30,26,True,Medium,False,False,114.0,13.0,0.11403508771929824,0.0,0.0,0.0,0.0
3554,Steve Cook,Bournemouth,English Premier League,26,England,Defender,77,80,77,78,75,78,False,High,False,False,74.0,10.0,0.13513513513513514,0.0,0.0,74.0,1.0
3555,Steve Mandanda,Olympique de Marseille,French Ligue 1,32,France,Goalkeeper,81,81,37,15,13,10,False,Medium,False,False,159.0,12.0,0.07547169811320754,0.0,0.0,64.0,0.4025157232704403
3556,Steve Morison,Millwall,English Championship,33,Wales,Forward,68,68,78,30,20,42,False,High,False,False,19.0,0.0,0.0,0.0,0.0,0.0,0.0
3557,Steve Mounie,Huddersfield Town,English Premier League,22,Benin,Forward,76,83,78,35,40,43,False,Medium,False,False,37.0,5.0,0.13513513513513514,0.0,0.0,0.0,0.0
3558,Steve Sidwell,Brighton & Hove Albion,English Premier League,34,England,Midfielder,71,71,74,71,65,70,False,Medium,False,False,79.0,15.0,0.189873417721519,2.0,0.02531645569620253,0.0,0.0
3559,Steve Von Bergen,BSC Young Boys,Swiss Super League,34,Switzerland,Defender,71,71,77,70,68,63,False,Medium,False,False,35.0,6.0,0.17142857142857143,1.0,0.02857142857142857,20.0,0.5714285714285714
3562,Steven Caulker,Queens Park Rangers,English Championship,25,England,Defender,73,77,66,74,75,72,False,High,False,False,97.0,2.0,0.020618556701030927,0.0,0.0,91.0,0.9381443298969072
3563,Steven Davis,Southampton,English Premier League,32,Northern Ireland,Midfielder,77,77,74,71,67,66,False,High,False,False,167.0,14.0,0.08383233532934131,0.0,0.0,0.0,0.0
3564,Steven Defour,Burnley,English Premier League,29,Belgium,Midfielder,78,78,81,73,71,73,False,Medium,False,False,21.0,1.0,0.047619047619047616,0.0,0.0,0.0,0.0
3565,Steven Fletcher,Sheffield Wednesday,English Championship,30,Scotland,Forward,72,72,56,22,14,23,False,Medium,False,False,78.0,8.0,0.10256410256410256,0.0,0.0,0.0,0.0
3566,Steven Moreira,FC Lorient,French Ligue 2,22,France,Defender,71,78,70,72,71,72,False,Medium,False,False,86.0,10.0,0.11627906976744186,0.0,0.0,49.0,0.5697674418604651
3567,Steven N'Zonzi,Sevilla FC,Spanish Primera Division,28,France,Midfielder,83,83,87,83,78,75,False,Medium,False,False,173.0,26.0,0.15028901734104047,1.0,0.005780346820809248,0.0,0.0
3568,Steven Naismith,Norwich City,English Championship,30,Scotland,Forward,72,72,81,53,49,43,False,High,False,False,116.0,12.0,0.10344827586206896,0.0,0.0,0.0,0.0
3569,Steven Taylor,Peterborough United,English League One,31,England,Defender,69,69,74,68,65,70,False,High,False,False,55.0,7.0,0.12727272727272726,1.0,0.01818181818181818,46.0,0.8363636363636363
3570,Steven Whittaker,Hibernian,Scottish Premiership,33,Scotland,Defender,70,70,69,73,71,70,False,Medium,False,False,41.0,5.0,0.12195121951219512,0.0,0.0,39.0,0.9512195121951219
3571,Steven Zuber,TSG 1899 Hoffenheim,German Bundesliga,25,Switzerland,Forward,75,78,72,73,68,68,False,High,False,False,53.0,3.0,0.05660377358490566,0.0,0.0,0.0,0.0
3572,Stewart Downing,Middlesbrough,English Championship,32,England,Midfielder,73,73,36,26,36,41,False,Medium,False,False,128.0,4.0,0.03125,0.0,0.0,0.0,0.0
3573,Stipe Perica,Udinese,Italian Serie A,21,Croatia,Forward,73,81,66,23,17,19,False,Medium,False,False,47.0,7.0,0.14893617021276595,0.0,0.0,0.0,0.0
3575,Stoppila Sunzu,Arsenal Tula,Russian Premier League,28,Zambia,Defender,71,72,71,71,72,71,False,Medium,False,False,33.0,4.0,0.12121212121212122,0.0,0.0,10.0,0.30303030303030304
3576,Stuart O'Keefe,Portsmouth,English League One,26,England,Midfielder,66,67,75,69,53,59,False,High,False,False,14.0,2.0,0.14285714285714285,0.0,0.0,0.0,0.0
3578,Suat Serdar,1. FSV Mainz 05,German Bundesliga,20,Germany,Midfielder,69,81,80,69,65,63,False,Medium,False,False,20.0,1.0,0.05,0.0,0.0,0.0,0.0
3581,Suso,Milan,Italian Serie A,23,Spain,Midfielder,82,87,23,23,18,19,False,Medium,False,False,101.0,15.0,0.1485148514851485,1.0,0.009900990099009901,0.0,0.0
3582,Sven Bender,Bayer 04 Leverkusen,German Bundesliga,28,Germany,Midfielder,80,81,82,86,88,80,False,High,True,False,85.0,6.0,0.07058823529411765,0.0,0.0,0.0,0.0
3583,Sven Kums,RSC Anderlecht,Belgian First Division A,29,Belgium,Midfielder,76,76,68,72,68,63,False,High,False,False,29.0,3.0,0.10344827586206896,0.0,0.0,0.0,0.0
3585,Sven Schipplock,Hamburger SV,German Bundesliga,28,Germany,Forward,70,70,81,24,25,27,False,Medium,False,False,108.0,19.0,0.17592592592592593,0.0,0.0,0.0,0.0
3586,Sven Ulreich,FC Bayern Munich,German Bundesliga,28,Germany,Goalkeeper,75,75,25,18,14,13,False,Medium,False,False,99.0,4.0,0.04040404040404041,0.0,0.0,82.0,0.8282828282828283
3587,Sverrir Ingi Ingason,FC Rostov,Russian Premier League,23,Iceland,Defender,72,77,73,72,73,71,False,Medium,False,False,17.0,7.0,0.4117647058823529,0.0,0.0,21.0,1.2352941176470589
3588,Syam Ben Youssef,Kasimpasa SK,Turkish Super Lig,28,Tunisia,Defender,72,73,75,72,71,74,False,Medium,False,False,35.0,7.0,0.2,0.0,0.0,26.0,0.7428571428571429
3589,Syarhey Chernik,AS Nancy Lorraine,French Ligue 2,29,Belarus,Goalkeeper,71,71,21,12,12,7,False,Medium,False,False,17.0,0.0,0.0,0.0,0.0,11.0,0.6470588235294118
3590,Sylvain Marveaux,FC Lorient,French Ligue 2,31,France,Midfielder,75,75,63,60,49,57,False,Medium,False,False,79.0,1.0,0.012658227848101266,0.0,0.0,0.0,0.0
3592,Takashi Inui,SD Eibar,Spanish Primera Division,29,Japan,Midfielder,78,78,49,39,31,30,False,Medium,False,False,129.0,12.0,0.09302325581395349,0.0,0.0,0.0,0.0
3593,Takashi Usami,Fortuna Dusseldorf,German 2. Bundesliga,25,Japan,Midfielder,74,77,30,27,21,28,False,Medium,False,False,31.0,2.0,0.06451612903225806,0.0,0.0,0.0,0.0
3597,Tana,UD Las Palmas,Spanish Primera Division,26,Spain,Midfielder,75,75,26,20,15,17,False,Low,False,False,59.0,5.0,0.0847457627118644,0.0,0.0,0.0,0.0
3598,Tarik Elyounoussi,Free Agent,Rest Of The World,29,Norway,Forward,73,73,43,33,28,43,False,Medium,False,False,52.0,6.0,0.11538461538461539,0.0,0.0,0.0,0.0
3601,Teddy Mezague,Royal Excel Mouscron,Belgian First Division A,27,France,Defender,68,69,76,68,67,65,False,High,False,False,14.0,2.0,0.14285714285714285,0.0,0.0,10.0,0.7142857142857143
3602,Teemu Pukki,Brndby IF,Danish Superliga,27,Finland,Forward,71,72,53,21,16,15,False,Medium,False,False,18.0,0.0,0.0,0.0,0.0,0.0,0.0
3604,Thanos Petsos,SK Rapid Wien,Austrian Bundesliga,26,Greece,Defender,68,69,70,68,63,65,False,High,False,False,17.0,5.0,0.29411764705882354,0.0,0.0,18.0,1.0588235294117647
3605,Theo Bongonda,Trabzonspor,Turkish Super Lig,21,Belgium,Forward,78,84,30,30,29,17,False,Medium,False,False,61.0,8.0,0.13114754098360656,0.0,0.0,0.0,0.0
3606,Theo Hernandez,Real Madrid CF,Spanish Primera Division,19,France,Defender,75,85,75,74,78,71,False,Medium,False,False,32.0,11.0,0.34375,1.0,0.03125,14.0,0.4375
3608,Theo Walcott,Arsenal,English Premier League,28,England,Forward,80,80,65,39,36,33,False,Medium,False,False,115.0,5.0,0.043478260869565216,0.0,0.0,0.0,0.0
3609,Theodor Gebre Selassie,SV Werder Bremen,German Bundesliga,30,Czech Republic,Defender,75,75,68,74,73,67,False,Medium,False,False,145.0,13.0,0.0896551724137931,0.0,0.0,154.0,1.0620689655172413
3611,Theoson Siebatcheu,Stade de Reims,French Ligue 2,21,France,Forward,68,76,40,18,24,22,False,Medium,False,False,26.0,1.0,0.038461538461538464,0.0,0.0,0.0,0.0
3612,Thiago Cionek,Palermo,Italian Serie B,31,Poland,Defender,71,71,68,73,72,72,False,High,False,False,35.0,10.0,0.2857142857142857,0.0,0.0,32.0,0.9142857142857143
3613,Thiago Motta,Paris Saint-Germain,French Ligue 1,34,Italy,Midfielder,81,81,93,82,74,68,False,Medium,False,False,133.0,32.0,0.24060150375939848,3.0,0.022556390977443608,0.0,0.0
3614,Thiago Silva,Paris Saint-Germain,French Ligue 1,32,Brazil,Defender,88,88,77,89,88,90,False,High,True,False,133.0,9.0,0.06766917293233082,1.0,0.007518796992481203,30.0,0.22556390977443608
3615,Thiago Xavier,Valenciennes FC,French Ligue 2,33,Brazil,Defender,65,65,69,65,65,60,False,High,False,False,35.0,11.0,0.3142857142857143,1.0,0.02857142857142857,41.0,1.1714285714285715
3617,Thibaut Courtois,Chelsea,English Premier League,25,Belgium,Goalkeeper,89,92,23,18,16,11,False,Medium,False,False,165.0,7.0,0.04242424242424243,2.0,0.012121212121212121,51.0,0.3090909090909091
3618,Thibaut Vion,Chamois Niortais FC,French Ligue 2,23,France,Forward,66,72,56,24,16,19,False,Medium,False,False,18.0,3.0,0.16666666666666666,0.0,0.0,0.0,0.0
3620,Thievy Bifouma,Medicana Sivasspor,Turkish Super Lig,25,Congo,Midfielder,74,78,64,23,19,17,False,Low,False,False,43.0,9.0,0.20930232558139536,0.0,0.0,0.0,0.0
3621,Thomas,Wigan Athletic,English League One,21,England,Midfielder,63,73,61,62,63,61,False,High,False,False,60.0,21.0,0.35,0.0,0.0,0.0,0.0
3622,Thomas Ayasse,Le Havre AC,French Ligue 2,30,France,Midfielder,68,68,72,64,61,60,False,High,False,False,31.0,5.0,0.16129032258064516,0.0,0.0,0.0,0.0
3626,Thomas Delaney,SV Werder Bremen,German Bundesliga,25,Denmark,Midfielder,78,81,78,77,74,72,False,High,False,False,13.0,3.0,0.23076923076923078,0.0,0.0,0.0,0.0
3627,Thomas Didillon,FC Metz,French Ligue 1,21,France,Goalkeeper,72,82,27,18,20,15,False,Medium,False,False,32.0,0.0,0.0,0.0,0.0,41.0,1.28125
3629,Thomas Heurtaux,Hellas Verona,Italian Serie A,28,France,Defender,76,76,78,80,78,77,False,Medium,False,False,101.0,22.0,0.21782178217821782,1.0,0.009900990099009901,75.0,0.7425742574257426
3630,Thomas Kessler,1. FC Koln,German Bundesliga,31,Germany,Goalkeeper,71,71,39,14,15,13,False,Medium,False,False,15.0,1.0,0.06666666666666667,0.0,0.0,10.0,0.6666666666666666
3631,Thomas Kraft,Hertha BSC Berlin,German Bundesliga,28,Germany,Goalkeeper,76,76,40,19,20,13,False,Medium,False,False,70.0,3.0,0.04285714285714286,0.0,0.0,50.0,0.7142857142857143
3632,Thomas Lemar,AS Monaco,French Ligue 1,21,France,Midfielder,83,91,63,59,63,63,False,Medium,False,False,85.0,3.0,0.03529411764705882,0.0,0.0,0.0,0.0
3633,Thomas Mangani,Angers SCO,French Ligue 1,30,France,Defender,78,78,72,76,73,71,False,Medium,False,False,35.0,8.0,0.22857142857142856,0.0,0.0,24.0,0.6857142857142857
3634,Thomas Mangani,Angers SCO,French Ligue 1,30,France,Midfielder,78,78,72,76,73,71,False,Medium,False,False,67.0,8.0,0.11940298507462686,1.0,0.014925373134328358,0.0,0.0
3635,Thomas Meunier,Paris Saint-Germain,French Ligue 1,25,Belgium,Defender,81,84,73,82,79,80,False,High,False,False,22.0,3.0,0.13636363636363635,0.0,0.0,6.0,0.2727272727272727
3636,Thomas Muller,FC Bayern Munich,German Bundesliga,27,Germany,Forward,86,86,57,41,44,31,False,High,False,False,150.0,7.0,0.04666666666666667,0.0,0.0,0.0,0.0
3638,Thomas Strakosha,Lazio,Italian Serie A,22,Albania,Goalkeeper,74,84,20,18,12,11,False,Medium,False,False,21.0,1.0,0.047619047619047616,0.0,0.0,13.0,0.6190476190476191
3639,Thomas Toure,Angers SCO,French Ligue 1,23,Ivory Coast,Forward,73,77,69,42,35,41,False,Medium,False,False,52.0,8.0,0.15384615384615385,0.0,0.0,0.0,0.0
3640,Thorgan Hazard,Borussia Monchengladbach,German Bundesliga,24,Belgium,Midfielder,80,84,62,45,35,28,False,Medium,False,False,80.0,8.0,0.1,0.0,0.0,0.0,0.0
3643,Tiago,Shimizu S-Pulse,Japanese J1 League,24,Brazil,Midfielder,73,74,46,34,32,29,False,Low,False,False,102.0,22.0,0.21568627450980393,0.0,0.0,0.0,0.0
3645,Tiemoue Bakayoko,Chelsea,English Premier League,22,France,Midfielder,82,88,85,84,82,80,False,Medium,False,False,87.0,13.0,0.14942528735632185,1.0,0.011494252873563218,0.0,0.0
3647,Tim Hoogland,VfL Bochum,German 2. Bundesliga,32,Germany,Defender,72,72,77,76,72,68,False,Medium,False,False,23.0,2.0,0.08695652173913043,0.0,0.0,8.0,0.34782608695652173
3648,Tim Howard,Colorado Rapids,USA Major League Soccer,38,United States,Goalkeeper,77,77,34,12,14,11,False,Medium,False,False,130.0,8.0,0.06153846153846154,1.0,0.007692307692307693,65.0,0.5
3649,Tim Krul,Brighton & Hove Albion,English Premier League,29,Netherlands,Goalkeeper,77,78,39,17,14,15,False,Medium,False,False,98.0,1.0,0.01020408163265306,0.0,0.0,82.0,0.8367346938775511
3651,Tim Matavz,Vitesse,Holland Eredivisie,28,Slovenia,Forward,72,72,56,32,40,23,False,Low,False,False,16.0,0.0,0.0,0.0,0.0,0.0,0.0
3652,Timm Klose,Norwich City,English Championship,29,Switzerland,Defender,75,75,72,74,73,77,False,High,False,False,54.0,7.0,0.12962962962962962,0.0,0.0,24.0,0.4444444444444444
3653,Timmy Simons,Club Brugge KV,Belgian First Division A,40,Belgium,Midfielder,73,73,72,74,70,69,False,High,False,False,34.0,4.0,0.11764705882352941,0.0,0.0,0.0,0.0
3654,Timo Baumgartl,VfB Stuttgart,German Bundesliga,21,Germany,Defender,74,83,69,77,71,76,False,Medium,False,False,39.0,4.0,0.10256410256410256,0.0,0.0,41.0,1.0512820512820513
3655,Timo Horn,1. FC Koln,German Bundesliga,24,Germany,Goalkeeper,84,90,41,13,12,11,False,Medium,False,False,86.0,0.0,0.0,0.0,0.0,43.0,0.5
3658,Timo Perthel,VfL Bochum,German 2. Bundesliga,28,Germany,Midfielder,70,70,77,70,68,67,False,Medium,False,False,11.0,2.0,0.18181818181818182,0.0,0.0,0.0,0.0
3659,Timo Werner,RB Leipzig,German Bundesliga,21,Germany,Forward,82,87,63,20,19,17,True,Medium,False,False,126.0,8.0,0.06349206349206349,0.0,0.0,0.0,0.0
3662,Timothee Kolodziejczak,Tigres U.A.N.L.,Mexican Liga MX,25,France,Defender,77,81,80,77,79,75,False,Medium,False,False,118.0,22.0,0.1864406779661017,1.0,0.00847457627118644,66.0,0.559322033898305
3664,Timothy Fosu-Mensah,Crystal Palace,English Premier League,19,Netherlands,Defender,76,88,84,76,77,71,False,Medium,False,False,12.0,1.0,0.08333333333333333,0.0,0.0,3.0,0.25
3665,Tin Jedvaj,Bayer 04 Leverkusen,German Bundesliga,21,Croatia,Defender,76,84,83,77,78,74,False,Medium,False,False,57.0,16.0,0.2807017543859649,1.0,0.017543859649122806,38.0,0.6666666666666666
3667,Tito,CD Leganes,Spanish Primera Division,31,Spain,Defender,73,73,69,74,76,69,False,Medium,False,False,141.0,34.0,0.24113475177304963,1.0,0.0070921985815602835,159.0,1.127659574468085
3668,Tobias Badila,AS Nancy Lorraine,French Ligue 2,24,France,Defender,63,69,59,66,67,63,False,Medium,False,False,26.0,7.0,0.2692307692307692,0.0,0.0,18.0,0.6923076923076923
3669,Tobias Kempe,SV Darmstadt 98,German 2. Bundesliga,28,Germany,Midfielder,70,70,53,34,30,30,False,Medium,False,False,32.0,0.0,0.0,0.0,0.0,0.0,0.0
3670,Tobias Levels,FC Ingolstadt 04,German 2. Bundesliga,30,Germany,Defender,69,69,83,73,74,70,False,High,False,False,45.0,13.0,0.28888888888888886,1.0,0.022222222222222223,35.0,0.7777777777777778
3674,Tobias Strobl,Borussia Monchengladbach,German Bundesliga,27,Germany,Defender,76,78,84,79,77,77,False,Medium,False,False,109.0,22.0,0.2018348623853211,0.0,0.0,98.0,0.8990825688073395
3675,Tobias Werner,1. FC Nurnberg,German 2. Bundesliga,31,Germany,Midfielder,70,70,61,49,36,39,False,Medium,False,False,106.0,18.0,0.16981132075471697,0.0,0.0,0.0,0.0
3676,Toby Alderweireld,Tottenham Hotspur,English Premier League,28,Belgium,Defender,86,87,81,90,85,89,False,Medium,True,False,106.0,7.0,0.0660377358490566,0.0,0.0,23.0,0.2169811320754717
3680,Tolga Cigerci,Galatasaray SK,Turkish Super Lig,25,Turkey,Midfielder,74,77,72,72,69,70,False,High,False,False,51.0,9.0,0.17647058823529413,0.0,0.0,0.0,0.0
