,Players,club,league,age,nationality,Position,overall,potential,aggression,standing_tackle,sliding_tackle,marking,diver_trait,work_rate_def,tackling_speciality,argues_with_officials_trait,Total Apps,Total Yellows,Average Yellows/Game,Total Reds,Average Reds/Game,Total Conceded 1+,Average Conceded 1+
150,Alessandro Longhi,Brescia,Italian Serie B,28,Italy,Defender,69,69,71,67,68,63,False,High,False,False,53.0,7.0,0.1320754716981132,0.0,0.0,38.0,0.7169811320754716
151,Alessandro Lucarelli,Parma,Italian Serie B,39,Italy,Defender,71,71,72,72,71,74,False,Medium,False,False,93.0,38.0,0.40860215053763443,2.0,0.021505376344086023,73.0,0.7849462365591398
152,Alessandro Matri,Sassuolo,Italian Serie A,32,Italy,Forward,76,76,50,28,24,16,False,Low,False,False,123.0,10.0,0.08130081300813008,1.0,0.008130081300813009,0.0,0.0
153,Alessandro Murgia,Lazio,Italian Serie A,20,Italy,Midfielder,68,80,58,65,60,60,False,Medium,False,False,14.0,1.0,0.07142857142857142,0.0,0.0,0.0,0.0
154,Alessandro Piu,Empoli,Italian Serie B,20,Italy,Midfielder,64,75,39,18,16,15,False,Medium,False,False,10.0,0.0,0.0,0.0,0.0,0.0,0.0
156,Alessandro Rosina,Salernitana,Italian Serie B,33,Italy,Midfielder,73,73,48,27,22,20,False,Medium,False,False,31.0,4.0,0.12903225806451613,0.0,0.0,0.0,0.0
158,Alessandro Schopf,FC Schalke 04,German Bundesliga,23,Austria,Midfielder,77,82,60,56,48,52,False,High,False,False,41.0,5.0,0.12195121951219512,0.0,0.0,0.0,0.0
160,Alessio Cerci,Hellas Verona,Italian Serie A,29,Italy,Midfielder,75,75,62,31,24,24,False,Low,False,False,118.0,11.0,0.09322033898305085,0.0,0.0,0.0,0.0
161,Alessio Cragno,Cagliari,Italian Serie A,23,Italy,Goalkeeper,72,82,33,11,12,16,False,Medium,False,False,14.0,0.0,0.0,0.0,0.0,14.0,1.0
162,Alessio Romagnoli,Milan,Italian Serie A,22,Italy,Defender,79,87,82,82,78,82,False,High,False,False,104.0,27.0,0.25961538461538464,0.0,0.0,41.0,0.3942307692307692
163,Alex Alegria,Levante UD,Spanish Primera Division,24,Spain,Forward,73,78,53,20,25,22,False,Medium,False,False,25.0,2.0,0.08,0.0,0.0,0.0,0.0
165,Alex Berenguer,Torino,Italian Serie A,21,Spain,Midfielder,73,81,70,67,69,64,False,Medium,False,False,29.0,3.0,0.10344827586206896,0.0,0.0,0.0,0.0
166,Alex Bruce,Wigan Athletic,English League One,32,Northern Ireland,Defender,67,67,77,69,71,67,False,Medium,False,False,42.0,5.0,0.11904761904761904,0.0,0.0,24.0,0.5714285714285714
167,Alex Cordaz,Crotone,Italian Serie A,34,Italy,Goalkeeper,72,72,22,10,10,17,False,Medium,False,False,37.0,2.0,0.05405405405405406,2.0,0.05405405405405406,24.0,0.6486486486486487
168,Alex Fernandez,Cadiz C.F.,Spanish Segunda Division,24,Spain,Midfielder,72,77,66,70,66,69,False,Medium,False,False,29.0,0.0,0.0,0.0,0.0,0.0,0.0
169,Alex Ferrari,Hellas Verona,Italian Serie A,23,Italy,Defender,69,76,70,70,72,68,False,Medium,False,False,22.0,6.0,0.2727272727272727,0.0,0.0,9.0,0.4090909090909091
171,Alex Iwobi,Arsenal,English Premier League,21,Nigeria,Forward,74,85,46,26,23,29,False,Medium,False,False,39.0,1.0,0.02564102564102564,0.0,0.0,0.0,0.0
172,Alex Lopez,Real Sporting de Gijon,Spanish Segunda Division,29,Spain,Midfielder,73,73,77,59,54,48,False,Medium,False,False,90.0,15.0,0.16666666666666666,0.0,0.0,0.0,0.0
173,Alex Martinez,Granada CF,Spanish Segunda Division,26,Spain,Defender,74,75,68,74,69,73,False,Medium,False,False,27.0,4.0,0.14814814814814814,0.0,0.0,26.0,0.9629629629629629
174,Alex McCarthy,Southampton,English Premier League,27,England,Goalkeeper,75,77,35,13,12,13,False,Medium,False,False,23.0,0.0,0.0,0.0,0.0,20.0,0.8695652173913043
175,Alex Menendez,CF Reus Deportiu,Spanish Segunda Division,25,Spain,Defender,68,71,59,63,68,62,False,Medium,False,False,21.0,1.0,0.047619047619047616,0.0,0.0,20.0,0.9523809523809523
177,Alex Moreno,Rayo Vallecano,Spanish Segunda Division,24,Spain,Forward,71,77,49,69,65,68,False,Medium,False,False,11.0,0.0,0.0,0.0,0.0,0.0,0.0
179,Alex Oxlade-Chamberlain,Liverpool,English Premier League,23,England,Midfielder,80,85,66,57,54,52,False,Medium,False,False,113.0,6.0,0.05309734513274336,0.0,0.0,0.0,0.0
181,Alex Pearce,Derby County,English Championship,28,Republic of Ireland,Defender,71,71,78,71,68,73,False,High,False,False,19.0,1.0,0.05263157894736842,0.0,0.0,18.0,0.9473684210526315
185,Alex Sandro,Juventus,Italian Serie A,26,Brazil,Defender,86,88,82,84,84,78,False,High,False,False,49.0,11.0,0.22448979591836735,0.0,0.0,7.0,0.14285714285714285
186,Alex Song,Rubin Kazan,Russian Premier League,29,Cameroon,Midfielder,77,77,83,77,73,74,False,Medium,False,False,79.0,10.0,0.12658227848101267,0.0,0.0,0.0,0.0
187,Alex Telles,FC Porto,Portuguese Primeira Liga,24,Brazil,Defender,80,84,78,77,76,75,False,Medium,False,False,21.0,6.0,0.2857142857142857,0.0,0.0,13.0,0.6190476190476191
188,Alexander Buttner,Vitesse,Holland Eredivisie,28,Netherlands,Defender,74,74,73,73,74,70,False,Medium,False,False,13.0,3.0,0.23076923076923078,0.0,0.0,6.0,0.46153846153846156
189,Alexander Djiku,SM Caen,French Ligue 1,22,France,Midfielder,74,80,77,75,75,72,False,High,False,False,45.0,8.0,0.17777777777777778,3.0,0.06666666666666667,0.0,0.0
190,Alexander Esswein,Hertha BSC Berlin,German Bundesliga,27,Germany,Forward,73,73,76,35,27,18,False,Medium,False,False,121.0,6.0,0.049586776859504134,0.0,0.0,0.0,0.0
191,Alexander Farnerud,BK Hacken,Swedish Allsvenskan,33,Sweden,Midfielder,71,71,61,59,55,50,False,Medium,False,False,50.0,6.0,0.12,0.0,0.0,0.0,0.0
192,Alexander Hack,1. FSV Mainz 05,German Bundesliga,23,Germany,Defender,71,80,67,72,68,67,False,Medium,False,False,22.0,2.0,0.09090909090909091,0.0,0.0,16.0,0.7272727272727273
194,Alexander Meier,Eintracht Frankfurt,German Bundesliga,34,Germany,Midfielder,77,77,60,44,21,30,False,Medium,False,False,119.0,7.0,0.058823529411764705,0.0,0.0,0.0,0.0
195,Alexander Merkel,VfL Bochum,German 2. Bundesliga,25,Kazakhstan,Midfielder,68,72,55,60,51,37,False,Low,False,False,12.0,1.0,0.08333333333333333,0.0,0.0,0.0,0.0
198,Alexander Schwolow,SC Freiburg,German Bundesliga,25,Germany,Goalkeeper,75,78,26,17,9,11,False,Medium,False,False,36.0,1.0,0.027777777777777776,0.0,0.0,34.0,0.9444444444444444
200,Alexander Szymanowski,CD Leganes,Spanish Primera Division,28,Argentina,Midfielder,78,78,55,42,45,33,False,Medium,False,False,28.0,1.0,0.03571428571428571,0.0,0.0,0.0,0.0
201,Alexander Tettey,Norwich City,English Championship,31,Norway,Midfielder,72,72,86,73,69,67,False,High,False,False,44.0,17.0,0.38636363636363635,0.0,0.0,0.0,0.0
202,Alexandre Coeff,Stade Brestois 29,French Ligue 2,25,France,Midfielder,69,73,68,67,70,65,False,Medium,False,False,37.0,5.0,0.13513513513513514,0.0,0.0,0.0,0.0
203,Alexandre Geijo,F.B.C. Unione Venezia,Italian Serie B,34,Spain,Forward,70,70,63,31,26,24,False,Low,False,False,13.0,0.0,0.0,0.0,0.0,0.0,0.0
204,Alexandre Lacazette,Arsenal,English Premier League,26,France,Forward,85,88,70,42,30,23,False,Medium,False,False,164.0,21.0,0.12804878048780488,0.0,0.0,0.0,0.0
205,Alexandre Letellier,Angers SCO,French Ligue 1,26,France,Goalkeeper,76,79,24,11,11,14,False,Medium,False,False,23.0,1.0,0.043478260869565216,0.0,0.0,16.0,0.6956521739130435
