,Players,Position,Clubs,league,age,nationality,overall,Continent,Homegrown,Starts/Apps,Subbed Off/Apps,Overall Apps,Average Form,Goals/Apps,Assists/Apps,Clean Sheets/Apps
68,Andrej Kramaric,Forward,,German Bundesliga,26,Croatia,81,Europe,False,0.8235294117647058,0.4411764705882353,34.0,4.705882352941177,0.4411764705882353,0.23529411764705882,0.0
69,Josip Drmic,Forward,FCN,German Bundesliga,24,Switzerland,74,Europe,False,0.9090909090909091,0.24242424242424243,33.0,4.696969696969697,0.5151515151515151,0.09090909090909091,0.0
70,Loic Remy,Forward,NEWU,Spanish Primera Division,30,France,77,Europe,False,0.9230769230769231,0.2692307692307692,26.0,4.6923076923076925,0.5384615384615384,0.11538461538461539,0.0
71,Lorenzo Tonelli,Defender,NAPO,Italian Serie A,27,Italy,79,Europe,True,1.0,0.0,3.0,4.666666666666667,0.6666666666666666,0.0,0.0
72,Romelu Lukaku,Forward,CHEL,English Premier League,24,Belgium,86,Europe,False,0.8787878787878788,0.2727272727272727,33.0,4.666666666666667,0.45454545454545453,0.18181818181818182,0.0
73,Franck Ribery,Midfielder,BM1,German Bundesliga,34,France,86,Europe,False,0.7171717171717171,0.25252525252525254,99.0,4.636363636363637,0.32323232323232326,0.46464646464646464,0.0
74,David Alaba,Defender,BM1,German Bundesliga,25,Austria,86,Europe,False,0.9318181818181818,0.08333333333333333,132.0,4.621212121212121,0.09090909090909091,0.10606060606060606,0.49242424242424243
75,Ousmane Dembele,Midfielder,STRE,Spanish Primera Division,20,France,83,Europe,False,0.8461538461538461,0.3076923076923077,26.0,4.615384615384615,0.4230769230769231,0.23076923076923078,0.0
76,Guido Burgstaller,Midfielder,SCH4,German Bundesliga,28,Austria,78,Europe,False,0.9444444444444444,0.6666666666666666,18.0,4.611111111111111,0.5,0.1111111111111111,0.0
77,Mario Balotelli,Forward,NICE,French Ligue 1,26,Italy,82,Europe,False,0.8695652173913043,0.34782608695652173,23.0,4.608695652173913,0.6521739130434783,0.043478260869565216,0.0
78,Bogdan Lobont,Goalkeeper,ROMA,Italian Serie A,39,Romania,70,Europe,False,1.0,0.2,5.0,4.6,0.0,0.2,0.4
