,Players,club,league,age,nationality,Position,overall,potential,eur_value,injury_prone_trait,Previous Average Form,Current Average Form,Apps This Season,Plays in Top 5 Leagues,Homegrown
239,Sergio Asenjo,Villarreal CF,Spanish Primera Division,28,Spain,Goalkeeper,84,85,25000000.0,True,3.2142857142857144,3.3157894736842106,19.0,True,True
240,Florin Andone,RC Deportivo de La Coruna,Spanish Primera Division,24,Romania,Forward,79,84,17000000.0,False,3.210526315789474,2.592592592592593,27.0,True,False
241,Duvan Zapata,Sampdoria,Italian Serie A,26,Colombia,Forward,78,81,13000000.0,False,3.21,3.965517241379312,29.0,True,False
242,Florian Thauvin,Olympique de Marseille,French Ligue 1,24,France,Midfielder,82,85,28000000.0,False,3.1987951807228914,0.0,0.0,True,True
243,Isco,Real Madrid CF,Spanish Primera Division,25,Spain,Midfielder,86,90,56500000.0,False,3.1984126984126986,3.3571428571428568,28.0,True,True
244,Fraser Forster,Southampton,English Premier League,29,England,Goalkeeper,77,78,7000000.0,False,3.186046511627907,2.35,20.0,True,True
245,Dusan Tadic,Southampton,English Premier League,28,Serbia,Midfielder,80,80,15000000.0,False,3.183673469387755,2.71875,32.0,True,False
246,Andrea Raggi,AS Monaco,French Ligue 1,33,Italy,Defender,76,76,3100000.0,False,3.18,0.0,0.0,True,True
247,Oscar Wendt,Borussia Monchengladbach,German Bundesliga,31,Sweden,Defender,77,77,6000000.0,False,3.178861788617886,2.36,25.0,True,False
248,Fin Bartels,SV Werder Bremen,German Bundesliga,30,Germany,Midfielder,78,78,10000000.0,False,3.1777777777777776,3.3571428571428568,14.0,True,True
249,Stefan Savic,Atletico Madrid,Spanish Primera Division,26,Montenegro,Defender,82,86,24000000.0,False,3.1769230769230767,3.8636363636363638,22.0,True,False
250,Jonathan Schmid,FC Augsburg,German Bundesliga,27,France,Midfielder,74,74,6000000.0,False,3.174825174825175,1.4761904761904765,21.0,True,True
251,Marko Arnautovic,West Ham United,English Premier League,28,Austria,Midfielder,82,82,22500000.0,False,3.1699346405228757,3.8461538461538463,26.0,True,False
252,Ryad Boudebouz,Real Betis Balompie,Spanish Primera Division,27,Algeria,Midfielder,81,82,20500000.0,False,3.1695906432748537,2.3043478260869565,23.0,True,False
253,Cheikh N'Doye,Birmingham City,English Championship,31,Senegal,Midfielder,76,76,6500000.0,False,3.169230769230769,0.0,0.0,False,False
254,Emiliano Sala,FC Nantes,French Ligue 1,26,Argentina,Forward,78,80,12500000.0,False,3.168539325842697,0.0,0.0,True,False
255,Nicolas Otamendi,Manchester City,English Premier League,29,Argentina,Defender,83,83,20000000.0,False,3.168421052631579,3.71875,32.0,True,False
256,Salomon Rondon,West Bromwich Albion,English Premier League,27,Venezuela,Forward,80,80,16000000.0,False,3.1666666666666665,2.96875,32.0,True,False
257,Jonathas,Hannover 96,German Bundesliga,28,Brazil,Forward,79,79,13000000.0,False,3.1666666666666665,3.1666666666666665,12.0,True,False
258,Keylor Navas,Real Madrid CF,Spanish Primera Division,30,Costa Rica,Goalkeeper,85,85,24500000.0,False,3.1607142857142856,2.92,25.0,True,False
259,Samuel Umtiti,FC Barcelona,Spanish Primera Division,23,France,Defender,83,88,29500000.0,False,3.1597222222222223,3.782608695652174,23.0,True,True
260,Gael Clichy,Istanbul Basaksehir FK,Turkish Super Lig,31,France,Defender,77,77,6000000.0,False,3.1545454545454548,0.0,0.0,False,True
